WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
ABART,abart,1.476190476,0.980767435,1.714285714,1.055597326,1.714285714,1.10194633,1.80952381,0.92838826,2.476190476,1.364516311,,DIS
ABBAU,abbau,1.25,0.716350399,2.4,1.142481141,2.35,1.225818738,2.3,1.417930293,1.5,0.827170192,,ANG
ABBILD,abbild,1.863636364,1.037187339,1.454545455,1.010764573,1.227272727,0.528413455,1.363636364,0.902137913,1.318181818,0.945483683,,HAP
ABBRUCH,abbruch,1.1,0.307793506,2.55,1.316894273,1.7,0.923380517,2.15,1.268027893,1.2,0.695852374,,ANG
ABDRUCK,abdruck,1.4,0.753937035,1.2,0.523148364,1.1,0.447213595,1,0,1,0,,HAP
ABEND,abend,3.2,1.151657844,1.35,0.670820393,1.75,0.910465468,1.5,0.688247202,1.2,0.410391341,HAP,HAP
ABENDROT,abendrot,3.85,1.089422831,1,0,1.6,1.046296728,1,0,1,0,HAP,HAP
ABFAHRT,abfahrt,2.2,1.472555959,1.05,0.223606798,1.6,0.994722918,1.45,0.759154655,1,0,,HAP
ABFALL,abfall,1.24,0.830662386,1.88,0.92736185,1.16,0.553774924,1.16,0.553774924,3.12,1.480990659,,DIS
ABFLUG,abflug,2.1,1.252366182,1.6,0.88257995,1.8,0.951453182,1.9,1.165287405,1.25,0.638666374,,HAP
ABFUHR,abfuhr,1.090909091,0.426401433,3.090909091,1.341963413,2.227272727,1.192509087,2.090909091,1.108799905,1.409090909,0.796366206,,ANG
ABGANG,abgang,1.541666667,1.102533315,1.458333333,0.779027636,1.708333333,1.041702898,1.375,0.710939366,1.25,0.675663925,,SAD
ABGAS,abgas,1.19047619,0.511766316,2.952380952,1.321975434,1.904761905,1.220850601,2.428571429,1.164964745,3.238095238,1.410842369,,DIS
ABGRUND,abgrund,1.3,0.97872097,1.5,0.888523317,1.8,1.105012503,3,1.4509525,1.25,0.550119604,,FEA
ABHANG,abhang,1.652173913,1.228772323,1.52173913,0.994053466,1.260869565,0.540823556,2.826086957,1.370208143,1.173913043,0.576208131,,FEA
ABHILFE,abhilfe,2.1,1.333771858,1.2,0.523148364,1.2,0.523148364,1.25,0.444261658,1.1,0.307793506,,HAP
ABITUR,abitur,3.272727273,1.386390249,1.545454545,0.857864054,1.181818182,0.588489886,1.727272727,1.077113346,1.136363636,0.467562529,HAP,HAP
ABKEHR,abkehr,1.045454545,0.213200716,2.272727273,1.2024506,1.727272727,0.984731928,1.636363636,0.789542034,1.090909091,0.294244943,,ANG
ABLAUF,ablauf,1.4,0.707106781,1.28,0.54160256,1.2,0.5,1.36,0.637704216,1.24,0.830662386,,HAP
ABLEGER,ableger,1.7,1.128576187,1.05,0.223606798,1.05,0.223606798,1.05,0.223606798,1.2,0.410391341,,HAP
ABORT,abort,1.15,0.366347549,1.95,1.35627198,2.15,1.460893742,2.35,1.631111988,2.9,1.410487038,,DIS
ABREISE,abreise,2.3,1.454575359,1.2,0.410391341,2.1,1.119210248,1.45,0.944513241,1.05,0.223606798,,HAP
ABSAGE,absage,1.291666667,0.907896119,3.375,1.209113941,2.541666667,1.413572922,2.208333333,1.102533315,1.083333333,0.40824829,,ANG
ABSATZ,absatz,1.833333333,1.239448218,1.541666667,0.9770927,1.208333333,0.832970936,1.291666667,0.624093546,1.083333333,0.282329851,,HAP
ABSCHEU,abscheu,1.25,0.910465468,2.75,1.371706582,1.7,0.97872097,2.1,1.293709477,3,1.55597321,,DIS
ABSCHIED,abschied,1.05,0.223606798,1.6,0.994722918,3.7,1.174285897,2.35,1.424411236,1,0,SAD,SAD
ABSENDER,absender,1.4,0.680557047,1.1,0.307793506,1.05,0.223606798,1.15,0.489360485,1,0,,HAP
ABSICHT,absicht,1.65,0.670820393,1.6,0.820782682,1.15,0.489360485,1.3,0.571240571,1.05,0.223606798,,HAP
ABSTAND,abstand,1.55,1.276302225,1.6,0.940324692,1.45,0.887041208,1.55,1.050062655,1.1,0.447213595,,ANG
ABSTIEG,abstieg,1.05,0.223606798,2.1,1.165287405,2,1.256561725,2.15,1.268027893,1.05,0.223606798,,FEA
ABSTURZ,absturz,1.2,0.894427191,1.8,0.951453182,2.4,1.353358396,3.25,1.371706582,1.25,0.550119604,,FEA
ABTEI,abtei,1.7,1.031095483,1.4,0.994722918,1.45,0.998683344,1.3,0.732695097,1.25,0.444261658,,HAP
ABTEIL,abteil,1.5,0.912870929,1.181818182,0.588489886,1.136363636,0.467562529,1.090909091,0.426401433,1.227272727,0.611930449,,HAP
ABWASSER,abwasser,1.05,0.223606798,1.7,1.218281793,1.2,0.695852374,1.25,0.716350399,3.25,1.29269201,DIS,DIS
ABWEG,abweg,1.55,1.099042646,2.45,1.190974833,1.6,0.88257995,2.3,1.080935268,1.2,0.410391341,,ANG
ABWEHR,abwehr,1.318181818,0.716231117,2.136363636,1.2069424,1.272727273,0.702500173,1.863636364,1.082125534,1.090909091,0.294244943,,ANG
ABWURF,abwurf,1.36,0.907377173,1.44,0.960902354,1.16,0.374165739,1.6,1.040833,1.36,0.860232527,,FEA
