Code,German idioms,Literal translation,Meaning,Ambiguity,Valence M,Valence SD,Arousal M,Arousal SD,Familiar M,Familiar SD,Transparency M,Transparency SD,Figurative M,Figurative SD,Concreteness M,Concreteness SD,Knowledge of the idiomatic meaning ,Confidence M,Confidence SD,Length in letters,Length in words
001,in den sauren Apfel beißen,to bite into the sour apple,to do something unpleasant where you know you have a disadvantage,A,-1.26,0.77,3.93,1.80,5.27,1.60,4.29,2.13,4.50,1.78,4.97,2.52,92,6.35,1.02,22,5
002,etwas für einen Apfel und ein Ei kaufen,to buy something for an apple and an egg,to buy something for a cheap price,A,0.58,1.43,2.81,1.62,4.45,1.86,3.94,2.16,4.75,1.87,3.14,1.82,100,5.71,1.49,32,8
003,einen an der Birne haben,to have one in the pear (head),to be crazy/dumb,U,-1.52,0.51,3.55,1.62,4.07,1.96,2.23,1.68,5.48,1.40,2.34,1.70,79,5.90,1.63,20,5
004,Äpfel mit Birnen vergleichen,to compare apples with pears,to compare uncomparable things,A,-0.73,0.69,2.45,1.52,4.86,1.96,4.83,2.02,4.58,1.59,3.70,1.88,92,6.40,1.22,25,4
005,sich jeden Bissen vom Munde absparen,to save oneself every bite from the mouth,to be very poor and to have to save money to be able to afford anything,U,-1.57,1.10,4.23,1.98,4.17,1.91,5.22,1.79,4.10,1.74,3.59,2.26,96,6.31,1.31,31,6
006,jemandem eine Extrawurst braten,to roast an extra sausage for someone,to satisfy an extra wish to someone (through a favour); to warrant an extra treatment to someone,A,-0.94,0.85,3.34,1.78,4.83,1.64,4.16,1.97,4.91,1.65,4.00,2.22,89,6.06,1.61,28,4
007,den Braten riechen,to smell the roast,to suspect danger or a win; to realize something early; to recognize a trend; to have a suspicion,A,0.39,1.28,3.90,1.83,4.83,1.93,3.42,2.05,4.88,1.70,4.65,2.42,100,6.23,1.33,16,3
008,jemanden im eigenen Saft schmoren lassen,to let someone braise in their own juice,to leave someone to one's own devices/problems/troubles; to abandon someone,U,-1.48,0.77,4.45,1.71,3.79,2.04,3.16,2.13,5.06,1.70,3.06,2.05,75,6.43,1.60,35,6
009,es braut sich etwas zusammen,something is brewing together,something bad is going to happen,U,-1.26,0.77,4.13,1.45,5.52,1.43,3.84,2.19,4.71,1.66,2.87,1.96,97,6.03,1.57,24,5
010,jemanden zu Brei schlagen,to beat someone until he becomes mash,to bash someone; to beat someone up,U,-2.50,0.67,5.23,1.89,3.86,1.88,5.32,1.81,4.28,1.57,3.74,2.31,96,6.17,1.34,22,4
011,seinen Senf dazugeben,to add one's mustard,to intervene by saying one's own opinion even though it was not asked or wished,A,-0.74,1.00,3.55,1.88,5.41,1.68,3.00,2.41,5.22,1.68,4.00,2.18,97,5.84,2.02,19,3
012,sich seine Brötchen verdienen,to earn one's rolls,to deserve what you earn (by working),U,1.16,1.07,2.39,1.71,5.14,1.64,5.28,2.08,3.55,1.52,3.43,2.28,100,6.76,0.58,26,4
013,in Lohn und Brot stehen,to stay in wage and bread,to have a job,U,1.37,1.24,2.93,1.84,3.88,2.18,4.30,2.28,4.07,1.58,2.77,1.87,88,6.70,0.47,19,5
014,jemandes täglich Brot sein,to be someone's daily bread,something is essential to someone's everyday life; to be a daily task for someone,U,0.65,1.08,3.13,1.63,3.79,1.92,3.61,2.12,4.42,1.41,3.13,2.11,67,6.66,0.67,23,4
015,jemandem Honig ums Maul schmieren,to grease honey on someone's muzzle,to flatter someone excessively,A,-0.74,1.24,3.58,1.48,4.80,1.86,3.91,2.04,5.41,1.46,4.77,2.17,85,6.31,1.11,29,5
016,sich von seiner Schokoladenseite zeigen,to show oneself from one's chocolate side,to show one's best attributes,U,1.55,0.93,4.06,1.71,5.17,1.58,4.38,2.11,5.29,1.44,3.53,2.29,96,6.65,0.66,35,5
018,Pfeffer im Hintern haben,to have pepper in the ass,to be lively; to be full of energy; not to be able to sit still,A,0.26,1.46,3.81,1.89,3.86,2.01,3.43,2.22,5.41,1.59,3.10,1.99,78,6.27,0.96,21,4
019a,jemandem die Butter vom Brot nehmen,to take someone the butter from the bread,to rob somebody of something nice/important; to hamper the pursuit of someone's interest,A,-1.58,0.76,3.83,1.72,4.31,2.04,4.50,2.20,4.90,1.70,3.97,2.43,77,5.71,1.81,30,6
019b,jemandem nicht die Butter auf dem Brot gönnen,to begrudge s.o. the butter on their bread,to be envious/jealous of someone; to have a grudge against someone,A,-1.52,1.27,3.53,1.59,3.96,2.01,5.32,1.97,4.48,1.96,3.50,2.26,100,6.55,1.27,38,8
019c,sich die Wurst vom Brot nehmen lassen,to let someone take the sausage of one's bread,to accept a damage uncontradicted,A,-1.23,0.73,3.48,1.79,4.15,1.94,4.10,1.93,4.74,1.71,3.63,2.47,57,6.57,0.79,31,7
020a,jemandem einen Stock zwischen die Beine werfen,to throw a stick between someone's legs,to create difficulties to someone; to make someone's life difficult,A,-1.61,0.67,4.03,1.45,3.73,2.03,4.90,1.83,4.38,1.84,4.16,2.52,96,5.66,1.78,40,7
020b,Sand ins Getriebe streuen,to spread sand in the gear,to create difficulties to someone; to make someone's life difficult,A,-1.39,1.02,3.60,1.63,3.83,1.87,5.19,1.73,4.28,1.55,4.37,2.33,88,4.85,1.88,22,4
021,jemanden etwas unter die Nase reiben,to grate something under someone's nose,to emphasise something unpleasant unnecessarily,A,-1.00,0.68,4.00,1.62,5.48,1.35,3.88,2.18,5.06,1.37,4.47,2.32,69,6.83,0.38,31,6
022a,den Daumen in die Wunde drücken,to push the thumb in the wound,"to emphasise something negative on purpose, with evilness",A,-1.77,0.90,5.00,1.55,3.69,1.87,4.63,1.80,4.47,1.68,4.50,2.43,83,6.60,0.77,26,6
022b,Salz in die Wunde streuen,to spread salt in the wound,"to emphasise something negative on purpose, with evilness",A,-2.03,0.84,5.03,1.45,5.23,1.70,5.53,1.61,4.75,1.76,4.13,2.51,86,5.83,1.95,21,5
023,jemandem die Hölle heiß machen,to make the hell hot to someone,to browbeat/bully somebody; to put someone under pressure; to punish someone,U,-1.84,0.97,5.58,1.48,5.03,1.67,4.38,2.09,4.91,1.69,3.55,2.03,96,6.23,1.38,26,5
024a,jemandem Beine machen,to make legs to someone,to cast someone out; to hurry someone to do something,U,-0.69,0.97,3.58,1.69,4.63,1.83,3.19,2.26,4.48,1.93,2.59,1.66,100,6.06,1.37,19,3
024b,jemanden unter Druck setzen,to put someone under pressure,to put someone under pressure,U,-1.71,0.90,4.19,1.76,5.76,1.68,5.35,1.85,3.19,1.69,3.42,2.13,93,4.39,2.33,24,4
