Source,Description,Category,Sound ID,BE Classification,AroMN,AroSD,ValMN,ValSD,DomMN,DomSD,FearMN,FearSD,HapMN,HapSD,SadMN,SadSD
Expanded,LightMusic24,Music,0001,H,4.18 ,1.92 ,6.55 ,1.18 ,5.73 ,1.72 ,2.14 ,1.36 ,5.14 ,1.70 ,3.36 ,1.99 
Expanded,Sci-Fi4,Sound Effect,0002,F,6.18 ,1.22 ,3.23 ,1.41 ,3.55 ,1.06 ,4.95 ,1.96 ,2.82 ,1.84 ,2.50 ,1.30 
Expanded,Suspense Thriller1,Sound Effect,0003,FS,5.23 ,1.60 ,4.23 ,1.45 ,4.23 ,1.48 ,4.91 ,2.72 ,2.27 ,1.24 ,4.55 ,2.77 
Expanded,Suspense Thriller2,Sound Effect,0003_b,FS,5.50 ,1.74 ,4.50 ,1.79 ,4.86 ,1.96 ,4.82 ,2.30 ,2.82 ,2.08 ,4.68 ,2.10 
Expanded,HorrorFilm7,Sound Effect,0004,F,6.54 ,1.22 ,4.21 ,1.44 ,3.88 ,1.73 ,6.00 ,1.96 ,3.13 ,2.03 ,4.42 ,2.57 
Expanded,HorrorFilm18,Sound Effect,0006,F,5.18 ,1.92 ,3.77 ,1.15 ,4.36 ,2.24 ,5.09 ,2.65 ,3.36 ,2.17 ,3.27 ,2.27 
Expanded,Suspense Thriller3,Sound Effect,0007,F,5.44 ,1.89 ,3.16 ,1.68 ,3.24 ,2.42 ,6.44 ,1.78 ,2.28 ,1.57 ,5.00 ,2.00 
Expanded,BGM1,Music,0008,FS,5.36 ,1.50 ,5.44 ,1.69 ,4.36 ,1.96 ,4.60 ,2.14 ,3.08 ,2.04 ,4.92 ,2.27 
Expanded,TragedyBGM1,Sound Effect,0009,FS,4.68 ,1.94 ,5.55 ,1.30 ,5.45 ,2.18 ,3.36 ,2.44 ,2.50 ,1.92 ,3.95 ,2.70 
Expanded,BGM2,Music,0010,S,4.83 ,1.71 ,5.63 ,1.53 ,4.96 ,1.94 ,3.71 ,2.07 ,3.33 ,2.30 ,5.42 ,2.19 
Expanded,Crux BGM1,Sound Effect,0011,U,5.77 ,1.77 ,5.41 ,1.18 ,5.68 ,1.84 ,3.18 ,2.11 ,3.82 ,1.84 ,3.73 ,2.64 
Expanded,Electronic Sound4,Electric sound,0012,FH,5.71 ,1.57 ,3.75 ,1.51 ,4.71 ,2.07 ,3.54 ,2.08 ,3.42 ,1.98 ,2.42 ,1.59 
Expanded,Electronic Sound5,Electric sound,0013,F,5.68 ,1.52 ,3.64 ,1.47 ,3.92 ,2.33 ,5.24 ,2.07 ,3.28 ,2.01 ,2.92 ,1.89 
Expanded,HorrorFilm19,Sound Effect,0014,F,5.83 ,1.74 ,4.33 ,1.63 ,3.50 ,1.69 ,5.75 ,1.98 ,2.46 ,1.72 ,3.17 ,2.10 
Expanded,BGM3,Music,0015,HS,5.13 ,1.94 ,6.25 ,1.07 ,5.42 ,1.61 ,1.79 ,1.02 ,4.04 ,1.88 ,3.54 ,1.82 
Expanded,BGM4,Music,0015_b,H,5.18 ,1.59 ,6.05 ,1.13 ,5.59 ,1.65 ,2.59 ,1.84 ,4.73 ,2.10 ,2.91 ,2.29 
Expanded,Crux BGM2,Sound Effect,0016,F,6.00 ,1.62 ,4.21 ,1.22 ,3.75 ,1.70 ,5.04 ,2.29 ,2.67 ,1.88 ,3.83 ,2.35 
Expanded,BGM5,Music,0017,H,5.25 ,1.45 ,5.75 ,1.51 ,5.17 ,1.99 ,2.38 ,1.66 ,4.50 ,2.17 ,2.21 ,1.32 
Expanded,DetectivefilmBGM1,Sound Effect,0021,H,6.45 ,1.92 ,4.18 ,1.74 ,4.86 ,2.03 ,2.95 ,1.91 ,3.50 ,2.06 ,2.27 ,1.45 
Expanded,TragedyBGM2,Sound Effect,0022,H,6.23 ,1.72 ,6.00 ,1.15 ,5.73 ,2.23 ,3.32 ,2.10 ,5.14 ,2.21 ,2.32 ,1.91 
Expanded,Suspense Film7,Sound Effect,0023,F,6.59 ,0.80 ,3.77 ,1.45 ,3.86 ,1.73 ,5.45 ,1.74 ,3.32 ,1.76 ,2.91 ,1.82 
Expanded,Suspense Film8,Sound Effect,0025,F,6.68 ,1.32 ,3.45 ,1.63 ,4.14 ,1.81 ,4.45 ,2.40 ,2.86 ,2.03 ,3.05 ,1.84 
Expanded,BGM6,Music,0028,FH,4.88 ,1.36 ,4.79 ,1.69 ,4.75 ,1.87 ,3.38 ,2.10 ,3.83 ,2.26 ,2.04 ,2.01 
Expanded,BGM7,Music,0028_b,U,4.46 ,1.50 ,4.71 ,1.73 ,4.54 ,1.74 ,3.17 ,2.43 ,3.04 ,1.88 ,2.38 ,2.28 
Expanded,HorrorFilm20,Sound Effect,0029,FS,4.79 ,2.19 ,4.25 ,1.98 ,4.88 ,2.09 ,5.21 ,2.23 ,2.42 ,1.84 ,4.71 ,1.81 
Expanded,Crux BGM3,Sound Effect,0031,FH,6.77 ,1.38 ,4.82 ,1.65 ,3.77 ,1.51 ,4.23 ,1.85 ,4.14 ,2.08 ,2.14 ,1.32 
Expanded,Suspense Film9,Sound Effect,0032,H,6.92 ,1.47 ,4.88 ,1.80 ,4.88 ,1.39 ,3.29 ,1.71 ,4.71 ,2.22 ,2.13 ,1.19 
Expanded,Documentary16,Sound Effect,0033,FH,6.04 ,1.54 ,4.96 ,1.49 ,4.32 ,2.15 ,4.32 ,2.27 ,4.08 ,2.14 ,3.24 ,2.03 
Expanded,Documentary17,Sound Effect,0035,U,5.36 ,1.50 ,5.23 ,1.45 ,4.50 ,1.54 ,3.05 ,1.94 ,3.32 ,1.96 ,2.41 ,1.26 
Expanded,Documentary18,Sound Effect,0036,U,4.84 ,1.75 ,5.96 ,1.93 ,4.64 ,1.70 ,3.60 ,2.24 ,4.00 ,2.43 ,3.12 ,1.90 
Expanded,Suspense Film10,Sound Effect,0044,U,4.86 ,1.96 ,5.14 ,1.46 ,5.45 ,1.90 ,3.36 ,2.24 ,3.36 ,1.89 ,2.41 ,1.59 
Expanded,BGM8,Music,0046,FH,5.68 ,1.59 ,4.59 ,1.89 ,5.14 ,1.73 ,3.32 ,2.19 ,3.45 ,2.32 ,2.55 ,1.65 
Expanded,BGM9,Music,0048,U,5.73 ,1.75 ,5.00 ,1.85 ,4.45 ,1.90 ,4.00 ,2.39 ,3.82 ,2.26 ,3.36 ,1.79 
Expanded,Sci-Fi13,Sound Effect,0049,F,5.14 ,1.39 ,3.86 ,1.32 ,4.59 ,2.13 ,5.14 ,2.59 ,3.14 ,1.96 ,3.09 ,2.37 
Expanded,BGM10,Music,0050,H,5.75 ,1.67 ,5.63 ,1.91 ,4.50 ,1.72 ,2.75 ,2.09 ,4.67 ,2.01 ,2.17 ,2.04 
Expanded,Suspense Film11,Sound Effect,0051,U,4.77 ,1.77 ,5.32 ,1.73 ,5.64 ,2.01 ,2.86 ,2.01 ,3.50 ,1.85 ,2.68 ,2.15 
Expanded,Detective Thriller1,Sound Effect,0052,F,5.75 ,1.59 ,4.00 ,1.74 ,3.42 ,1.56 ,4.79 ,2.47 ,3.04 ,1.76 ,3.83 ,2.63 
Expanded,BGM11,Music,0054,H,6.05 ,1.84 ,6.27 ,1.39 ,5.68 ,2.01 ,2.59 ,1.76 ,5.00 ,2.00 ,2.73 ,1.98 
Expanded,Detective Thriller2,Sound Effect,0055,FH,6.63 ,2.00 ,5.00 ,1.69 ,4.13 ,1.80 ,4.29 ,2.20 ,4.50 ,2.32 ,2.79 ,2.00 
Expanded,Sci-Fi14,Sound Effect,0056,F,6.17 ,2.04 ,2.75 ,1.33 ,3.88 ,2.23 ,5.04 ,2.42 ,2.29 ,1.20 ,3.17 ,1.99 
Expanded,Suspense Film12,Sound Effect,0057,H,6.05 ,1.76 ,5.64 ,1.71 ,4.64 ,1.84 ,3.36 ,1.94 ,4.73 ,2.53 ,2.45 ,1.99 
Expanded,HorrorFilm21,Sound Effect,0058,F,6.64 ,1.09 ,3.68 ,1.94 ,4.09 ,2.31 ,5.59 ,2.11 ,2.86 ,2.01 ,3.68 ,2.10 
Expanded,Electronic Sound38,Electric sound,0060,U,4.83 ,1.66 ,4.67 ,1.76 ,4.96 ,2.05 ,3.08 ,1.77 ,3.08 ,1.59 ,2.92 ,1.72 
Expanded,Suspense Film13,Sound Effect,0062,F,5.59 ,1.37 ,3.59 ,2.02 ,4.32 ,2.23 ,4.73 ,2.37 ,3.27 ,1.83 ,3.36 ,1.62 
Expanded,Suspense Film14,Sound Effect,0063,FH,5.72 ,1.72 ,4.76 ,1.64 ,3.92 ,1.91 ,3.80 ,2.06 ,3.84 ,2.10 ,2.52 ,2.14 
Expanded,Documentary1,Sound Effect,0064,U,3.95 ,1.81 ,5.14 ,1.49 ,4.45 ,1.63 ,3.50 ,2.11 ,3.09 ,2.07 ,3.18 ,1.71 
Expanded,Tang Music1,Music,0065,FH,5.13 ,1.83 ,4.96 ,1.83 ,5.13 ,1.73 ,4.33 ,2.10 ,4.13 ,2.09 ,3.21 ,2.04 
Expanded,Tang Music2,Music,0066,FH,5.23 ,1.54 ,5.05 ,1.43 ,5.14 ,1.83 ,2.95 ,2.15 ,3.55 ,1.77 ,2.18 ,1.84 
Expanded,Suspense Film15,Sound Effect,0068,H,4.79 ,1.72 ,6.04 ,1.63 ,5.71 ,1.68 ,2.71 ,1.85 ,4.13 ,2.25 ,3.00 ,1.69 
Expanded,HorrorFilm22,Sound Effect,0069,U,5.18 ,1.65 ,4.82 ,1.87 ,5.36 ,1.89 ,3.18 ,2.40 ,3.77 ,2.39 ,3.27 ,2.27 
Expanded,Sci-Fi15,Sound Effect,0071,F,5.23 ,1.85 ,4.09 ,1.54 ,5.23 ,2.05 ,4.09 ,2.49 ,2.50 ,1.87 ,2.55 ,1.92 
Expanded,HorrorFilm1,Sound Effect,0075,F,6.13 ,1.60 ,2.58 ,1.25 ,3.33 ,1.97 ,5.46 ,2.06 ,2.00 ,1.56 ,3.75 ,2.25 
Expanded,Suspense Film16,Sound Effect,0076,H,4.67 ,1.55 ,5.42 ,1.47 ,5.21 ,1.84 ,2.58 ,1.61 ,3.79 ,1.93 ,2.25 ,1.42 
Expanded,HorrorFilm2,Sound Effect,0077,U,5.00 ,1.93 ,5.09 ,2.11 ,4.55 ,1.84 ,4.32 ,2.48 ,3.82 ,2.08 ,3.45 ,2.13 
